Column1,Column2
0,"if oscar had a category called best bad film you thought was going to be really awful but wasn't  guys would probably be duking it out with the queen of the damned for the honor . "
1,"beautiful  angry and sad  with a curious sick poetry  as if the marquis de sade had gone in for pastel landscapes . "
0,"it's a grab bag of genres that don't add up to a whole lot of sense . "
0,"any chekhov is better than no chekhov  but it would be a shame if this was your introduction to one of the greatest plays of the last 100 years . "
0,"the biggest problem with roger avary's uproar against the mpaa is that  even in all its director's cut glory  he's made a film that's barely shocking  barely interesting and most of all  barely anything . "
1,"huppert's superbly controlled display of murderous vulnerability ensures that malice has a very human face . "
0,"jonathan parker's bartleby should have been the be-all-end-all of the modern-office anomie films . "
1,"reign of fire may be little more than another platter of reheated aliens  but it's still pretty tasty . "
1,"sayles has an eye for the ways people of different ethnicities talk to and about others outside the group . "
0,"a tired  unnecessary retread . . . a stale copy of a picture that wasn't all that great to begin with . "
1,"there's a vastness implied in metropolis that is just breathtaking . "
1,"bourne  jason bourne . he can scale a building like a super hero  he can out-stealth any agent  he'll get the girl . he's super spy ! "
0,"bad company . bad movie . just plain bad . "
1,"some of the most inventive silliness you are likely to witness in a movie theatre for some time . "
1,"gay or straight  kissing jessica stein is one of the greatest date movies in years . "
0,"la cinta comienza intentando ser un drama  r�pidamente se transforma en una comedia y termina por ser una parodia absolutamente predecible"
0,"why spend $9 on the same stuff you can get for a buck or so in that greasy little vidgame pit in the theater lobby ? "
0,"let's face it -- there aren't many reasons anyone would want to see crossroads if they're not big fans of teen pop kitten britney spears . "
1,"its sheer dynamism is infectious . "
0,"this 10th film in the series looks and feels tired . "
1,"seeing seinfeld at home as he watches his own appearance on letterman with a clinical eye reminds you that the key to stand-up is to always make it look easy  even though the reality is anything but . "
0,"borrows from other movies like it in the most ordinary and obvious fashion . "
1,"terrific casting and solid execution give all three stories life . "
0,"the creaking  rusty ship makes a fine backdrop  but the ghosts' haunting is routine . "
0,"this is a children's film in the truest sense . it's packed with adventure and a worthwhile environmental message  so it's great for the kids . parents  on the other hand  will be ahead of the plot at all times  and there isn't enough clever innuendo to fil"
1,"[has] an immediacy and an intimacy that sucks you in and dares you not to believe it's all true . "
0,"a humorless journey into a philosophical void . "
0,"the low-budget full frontal was one of the year's murkiest  intentionally obscure and self-indulgent pictures  and solaris is its big-budget brother . "
0,"it has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references . "
0,"bluto blutarsky  we miss you . "
1,"an ideal love story for those intolerant of the more common saccharine genre . "
0,"this tuxedo . . . should have been sent back to the tailor for some major alterations . "
0,"there's a solid woman- finding-herself story somewhere in here  but you'd have to dig pretty deep to uncover it . "
1,"this is a raw and disturbing tale that took five years to make  and the trio's absorbing narrative is a heart-wrenching showcase indeed . "
1,"as any creature-feature fan knows  when you cross toxic chemicals with a bunch of exotic creatures  you get a lot of running around  screaming and death . on that score  the film certainly doesn't disappoint . "
1,"for a long time the film succeeds with its dark  delicate treatment of these characters and its unerring respect for them . "
0,"as a director  eastwood is off his game -- there's no real sense of suspense  and none of the plot 'surprises' are really surprising . "
0,"indifferently implausible popcorn programmer of a movie . "
0,"the only fun part of the movie is playing the obvious game . you try to guess the order in which the kids in the house will be gored . "
1,"what makes it worth watching is quaid's performance . "
1,"the old-world- meets-new mesh is incarnated in the movie's soundtrack  a joyful effusion of disco bollywood that  by the end of monsoon wedding  sent my spirit soaring out of the theater . "
1,"a study in shades of gray  offering itself up in subtle plot maneuvers . . . "
0,"this re-do is so dumb and so exploitative in its violence that  ironically  it becomes everything that the rather clumsy original was railing against . "
0,"despite its good nature and some genuinely funny moments  super troopers suffers from a bad case of arrested development . "
0,"too stupid to be satire  too obviously hateful to be classified otherwise  frank novak's irritating slice of lumpen life is as reliably soul-killing as its title is nearly meaningless . "
0,"contains a few big laughs but many more that graze the funny bone or miss it altogether  in part because the consciously dumbed-down approach wears thin . "
0,"its plot and animation offer daytime tv serviceability  but little more . "
0,"it takes a strange kind of laziness to waste the talents of robert forster  anne meara  eugene levy  and reginald veljohnson all in the same movie . "
0,"knockaround guys plays like a student film by two guys who desperately want to be quentin tarantino when they grow up . but they lack their idol's energy and passion for detail . "
0,"with recent tensions rekindled by the kathleen soliah trial and the upcoming trial of sla members emily and william harris  not to mention sept . 11  its difficult these days to appreciate fire's bright side . "
1,"adams  with four scriptwriters  takes care with the characters  who are so believable that you feel what they feel . "
1,"it is quite a vision . "
1,"disney aficionados will notice distinct parallels between this story and the 1971 musical  bedknobs and broomsticks   which also dealt with british children rediscovering the power of fantasy during wartime . "
0,"the two leads are almost good enough to camouflage the dopey plot  but so much naturalistic small talk  delivered in almost muffled exchanges  eventually has a lulling effect . "
1,"the success of undercover brother is found in its ability to spoof both black and white stereotypes equally . "
0,"it doesn't do the original any particular dishonor  but neither does it exude any charm or personality . "
1,"though the controversial korean filmmaker's latest effort is not for all tastes  it offers gorgeous imagery  effective performances  and an increasingly unsettling sense of foreboding . "
0,"beneath the uncanny  inevitable and seemingly shrewd facade of movie-biz farce . . . lies a plot cobbled together from largely flat and uncreative moments . "
0,"a sleek advert for youthful anomie that never quite equals the sum of its pretensions . "
1,"the concert footage is stirring  the recording sessions are intriguing  and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers . "
0,"cox is far more concerned with aggrandizing madness  not the man  and the results might drive you crazy . "
0,"rainy days and movies about the disintegration of families always get me down . "
1,"another one of those estrogen overdose movies like  divine secrets of the ya ya sisterhood   except that the writing  acting and character development are a lot better . "
0,"perhaps a better celebration of these unfairly dismissed heroes would be a film that isn't this painfully forced  false and fabricated . "
1,"renner carries much of the film with a creepy and dead-on performance . "
1,"funny but perilously slight . "
1,"charming and witty  it's also somewhat clumsy . "
1,"an animation landmark as monumental as disney's 1937 breakthrough snow white and the seven dwarfs . "
1,"as played by ryan gosling  danny is a frighteningly fascinating contradiction . "
0,"yet another self-consciously overwritten story about a rag-tag bunch of would-be characters that team up for a can't-miss heist -- only to have it all go wrong . "
0,"one gets the impression the creators of don't ask don't tell laughed a hell of a lot at their own jokes . too bad none of it is funny . "
0,"costner's warm-milk persona is just as ill-fitting as shadyac's perfunctory directing chops  and some of the more overtly silly dialogue would sink laurence olivier . "
0,"in a strange way  egoyan has done too much . he's worked too hard on this movie . "
0,"content merely to lionize its title character and exploit his anger - all for easy sanctimony  formulaic thrills and a ham-fisted sermon on the need for national health insurance . "
1,"you can fire a torpedo through some of clancy's holes  and the scripters don't deserve any oscars . but the nerve-raked acting  the crackle of lines  the impressive stagings of hardware  make for some robust and scary entertainment . "
1,"it's no lie -- big fat liar is a real charmer . "
1,"like a tarantino movie with heart  alias betty is richly detailed  deftly executed and utterly absorbing . "
0,"it is messy  uncouth  incomprehensible  vicious and absurd . "
1,"light  cute and forgettable . "
1,"mostly works because of the universal themes  earnest performances . . . and excellent use of music by india's popular gulzar and jagjit singh . "
0,"birot's directorial debut ( she co-wrote the script with christophe honor� ) isn't so much bad as it is bland . "
0,"deuces wild is an encyclopedia of cliches that shoplifts shamelessly from farewell-to-innocence movies like the wanderers and a bronx tale without cribbing any of their intelligence . "
0,"sometimes makes less sense than the bruckheimeresque american action flicks it emulates . "
1,"while dutifully pulling on heartstrings  directors dean deblois and chris sanders valiantly keep punching up the mix . "
1,"there is no substitute for on-screen chemistry  and when friel pulls the strings that make williams sink into melancholia  the reaction in williams is as visceral as a gut punch . "
1,"maybe it is formula filmmaking  but there's nothing wrong with that if the film is well-crafted and this one is . "
0,"it's not nearly as fresh or enjoyable as its predecessor  but there are enough high points to keep this from being a complete waste of time . "
0,"weighted down with slow  uninvolving storytelling and flat acting . "
0,"'abandon all hope  ye who enter here' . . . you should definitely let dante's gloomy words be your guide . "
